1:-114.62189887498066 2:5.233434006994958 3:3.636640949116457 4:3.6385301907812346 5:3.6713609121842814 6:1.5394380908151954 7:1.2344398754107901 8:-1.2502675821482385 9:-1.8582039455754953 10:-1.7849528274184117 11:0.10313868472979904 12:0.5935095081743458 
1:-106.73634063410844 2:9.664849552413026 3:3.983519245374214 4:3.9112288579853662 5:3.9798168180132767 6:2.001141992855466 7:0.026952779127115356 8:0.4603300185940098 9:3.195032364847644 10:0.40338406257717896 11:0.20522221495356519 12:1.7031089203331549 
1:-113.78597876506223 2:5.77191346086245 3:0.4260464077670161 4:1.3445033541327631 5:1.880523760721494 6:0.6976688914073317 7:0.5218979303428797 8:0.9174256442124422 9:0.6600174842240016 10:1.7704998237093925 11:1.7884878097868846 12:0.35649001199959596 
1:-118.10015529567109 2:1.389975612585213 3:-1.1741768309123883 4:1.3857867485329742 5:-0.17117651972865433 6:-1.320217445190718 7:0.4454800674503727 8:1.49919276689716 9:5.839388114493024 10:2.4455509386212957 11:0.6699847615912802 12:-0.4482047101647515 
1:-110.70369549319163 2:4.267682404217556 3:2.6656667541083765 4:5.326700445536654 5:1.0727836684992726 6:1.1176150125547069 7:0.8301724053615405 8:3.9532135199348972 9:3.997073299977029 10:-0.39149023728233034 11:-0.19984760268262125 12:3.2541785324565646 
1:-108.65818629054215 2:9.014897281640453 3:0.325744319775497 4:1.5975732139792211 5:2.5809952557625984 6:-2.18665373369437 7:1.64581871332074 8:0.22437914694037753 9:2.6734068860804387 10:0.9377731980806914 11:0.2885212398427943 12:1.9761993789303514 
1:-114.67938641626372 2:6.054955795299273 3:2.923612637094342 4:3.3046335762604406 5:2.2161102993675286 6:2.038162871107251 7:1.0636029991812919 8:-0.17062577297722514 9:1.7893585922790334 10:-2.746984125099296 11:-1.5420599778457418 12:0.5928466449689322 
1:-103.6472514934288 2:7.265204789387954 3:1.817689578158662 4:2.2560786715678174 5:1.4086800939096609 6:1.5226053910220583 7:0.21208927498870844 8:0.13832953726504282 9:3.128593208669458 10:-0.7314427201225127 11:-2.3861961684821997 12:-2.4168266886723377 
1:-115.79805524915109 2:4.634817973170663 3:-2.308616029367797 4:2.281868445755969 5:2.71117532325718 6:1.5611827625739076 7:1.3015520266414944 8:2.3080203907338777 9:3.650924725880584 10:2.0035382964581543 11:0.5429190491126192 12:-0.560558992495948 
1:-106.07197590204359 2:7.387581923903583 3:5.37111199071385 4:3.3435180437047998 5:4.890572246902115 6:2.5427250193670767 7:1.4645052859716339 8:4.265425954162733 9:4.876427986925062 10:2.7502681304010794 11:-0.20085198545301708 12:-0.35041462262892153 
1:-114.5283451208626 2:7.3638593529380465 3:3.260992839229035 4:2.5671508193286785 5:2.8742363269414084 6:2.215428984880054 7:3.801190504699642 8:1.8273815459702445 9:3.299700371768662 10:2.090713777136506 11:1.4880575453926261 12:-1.0915719292569483 
1:-112.97441434689911 2:8.591329415116753 3:2.9287161594232 4:2.058814441823396 5:2.7941386506499746 6:-1.642503677925045 7:-0.08928440749321442 8:1.641751260476233 9:4.874572255565398 10:2.837619701376503 11:1.5690310070305231 12:1.24794060260224 
1:-117.39384698991195 2:2.674431958912814 3:-2.567423120118593 4:2.7240665590308404 5:2.893629237084306 6:0.7425705387044941 7:0.509176830700083 8:0.8127701562064442 9:0.8004851955664676 10:-1.722321217878263 11:1.5483492444628184 12:1.9110260320082206 
1:-108.33855253115294 2:6.718306729564333 3:0.7622492419774773 4:3.455856023822285 5:2.593555383201995 6:1.1801094058753723 7:-1.3767902776456582 8:-1.139210607816156 9:3.076056084088908 10:1.3694785500066309 11:2.5352390869023878 12:0.19362971754890212 
1:-119.28931905952516 2:3.585578461423439 3:-0.44898890928553925 4:3.2528170855152228 5:-0.1994445846874342 6:4.23344531946851 7:1.6743030618254062 8:0.8061757621915158 9:4.189996063409475 10:0.32412419136323267 11:0.24332899257096985 12:-0.614129008220083 
1:-117.39350000791912 2:4.551041818701372 3:0.6039335172277172 4:4.668522000739161 5:2.3265286733572266 6:2.317507407719998 7:-1.2564512374739523 8:-2.6464854339370105 9:1.1612916124225143 10:-0.3775386160303711 11:-0.5334229466297074 12:-0.8716412378800467 
1:-108.8722867977609 2:7.160668849298162 3:0.45777405199807664 4:3.737829102662716 5:0.18363662353760724 6:1.1913092668797192 7:3.1082363202912417 8:1.5349352815032553 9:2.6536863299405393 10:-0.8214396825232528 11:-0.24861937282456914 12:-0.6440122557788492 
1:-117.00979328573352 2:5.373764394067283 3:2.1159922315395883 4:2.6450059899760854 5:1.4055642485887958 6:-1.7961572275130147 7:0.6758050542943601 8:3.18983312481181 9:2.632548614482627 10:-0.5755855508567911 11:-0.9420149129752464 12:1.8706962175886739 
1:-113.6329043993238 2:4.577946327604989 3:-0.12119156238934536 4:2.610097763263124 5:-0.29166915114907965 6:0.7887210330790908 7:-0.5260066142721116 8:-1.7851789996361251 9:0.5850674216085805 10:0.7902712301363017 11:0.7561023206055291 12:0.7998014280747308 
1:-107.60222789047636 2:6.02642097931388 3:2.4339959917937866 4:3.995122537482967 5:3.2036758003215455 6:1.2118524915704452 7:0.2292532651149113 8:2.506212825852737 9:3.124141338547343 10:0.6605162962601292 11:0.1463390693064257 12:2.014482766756788 
1:-121.1710616448858 2:-0.7474637188931217 3:-2.76004078070339 4:4.429281192746984 5:2.8164468282472166 6:-0.06423982365259029 7:-1.5529544321111577 8:-1.7215595894774163 9:0.8335922099130846 10:2.093977799945971 11:3.0695581570979176 12:1.6469859406221072 
1:-112.41410265421403 2:6.253520714503404 3:0.8829605058384198 4:2.6584716854076476 5:-0.4736194740195687 6:0.7464106454275776 7:0.7892296285579312 8:-0.20419177938348332 9:0.9331381973182364 10:-0.6419804386619767 11:3.1445188613468447 12:-0.8067172398995877 
1:-107.12163059103656 2:7.90481390023586 3:1.517261479621523 4:1.3565454541176734 5:-1.388557752131693 6:-0.18742331619379105 7:-0.336262011110251 8:-1.663691690193649 9:1.1158943202522984 10:-3.086478789758404 11:0.45836303809333145 12:1.8617692466191522 
1:-113.79937997544832 2:5.254822065007117 3:0.4069717293229509 4:1.3770631066597034 5:1.4844870620138102 6:3.0607299798729852 7:3.371986747060487 8:2.3666191496313864 9:3.4262739018394095 10:-0.07578531680578449 11:1.0618722388802562 12:0.38734377306649126 
1:-113.64024594834842 2:3.5981903456244666 3:-2.9335786079460013 4:3.3717319726910198 5:2.914456525121072 6:0.7026610349582305 7:1.3561884592392528 8:0.37746572081904306 9:4.023047757898366 10:1.8238265476306688 11:1.3279439501879202 12:0.11114996914613462 
1:-113.99498170739895 2:5.353408460069615 3:2.35787496665421 4:3.648276482117129 5:1.3888811984662737 6:-1.781177580472443 7:-1.8509094192999997 8:-0.5464984036985405 9:4.85839743594187 10:2.4305440755294945 11:0.5631355323105187 12:-1.662160837812476 
1:-110.29799413526476 2:6.175963466238045 3:2.6091462304449693 4:2.774863929781286 5:-0.19497705304688218 6:0.9201047279389787 7:0.16505188020791683 8:0.10843793401860147 9:4.765700259752382 10:1.6996260582530187 11:2.076448601090109 12:0.1817102077420305 
1:-115.69617493814012 2:5.078801540805251 3:-0.47851652311223614 4:4.062225776369091 5:-2.156135780104031 6:-2.1388417845399266 7:-0.7907864128926034 8:2.190071180774175 9:4.9287204946508005 10:0.2908469693372213 11:0.44895450477812027 12:-0.7819408183154608 
1:-119.05819387842777 2:4.6583997078080825 3:0.2879959555503815 4:3.332707121122666 5:0.20632833587128196 6:-1.2644603661673024 7:1.479183641046684 8:4.488996920095607 9:6.665206955615275 10:1.8440424078369166 11:1.8469884666907919 12:1.9866177846870952 
1:-115.41089299701049 2:5.518764089098008 3:0.8442447155636659 4:0.7967299633366705 5:-0.4234661612669872 6:0.7484325409792172 7:0.22253546599060403 8:3.067970906547373 9:7.35967235434693 10:4.3923475882436405 11:1.3719748821971685 12:2.241445832198991 
1:-113.08212542502098 2:4.0972822049689865 3:1.9532561867073017 4:3.614076982592195 5:-1.3317644068453292 6:-1.8604094063079222 7:-1.2704289631275558 8:2.6408251659491313 9:4.181601595521071 10:2.676231457482269 11:2.4872346320277186 12:0.37273665811289236 
1:-117.0681797323197 2:3.7719617187293855 3:-3.2448209240252464 4:-2.239162650846053 5:-2.2159660541677177 6:-1.6047042432295315 7:0.6352792101100806 8:3.2189880851936277 9:4.73757010963703 10:1.697459425278451 11:0.7260231786374542 12:1.4388451039074739 
1:-114.64400139791101 2:3.1218871297768525 3:-2.0740231140669767 4:1.5177579347894747 5:-0.12046813515298638 6:-0.7174954175244732 7:-0.36934757282210784 8:1.7508752139357213 9:2.7084501788966615 10:-0.8010761127418773 11:0.707137340252773 12:0.25718703948122945 
1:-118.93950325974765 2:2.314194160821023 3:-1.5224536405087266 4:0.2935167374998775 5:-3.1922863843796043 6:-3.2072199436183526 7:-4.258515328378214 8:0.41173420064030175 9:3.6274298577346595 10:0.34442849187968827 11:1.2720949361278295 12:0.4579428965350125 
1:-119.08568390664482 2:2.4392974145075836 3:0.7971940807464044 4:1.2543590353455714 5:-1.1881655927475925 6:-3.6586788208590098 7:-3.226739260276039 8:0.6926031007732663 9:7.250057158269732 10:2.946301530611465 11:2.5335864627562423 12:0.37815147619519784 
1:-127.09910756016558 2:1.1743155567242884 3:-2.583323088437171 4:-0.7229263117249789 5:-2.896633686656453 6:-4.215021714464392 7:-3.3804328312311895 8:1.245197547875586 9:6.938445711413744 10:3.1849452460367345 11:3.65396500725228 12:-1.452931993788043 
1:-122.29962940786837 2:3.140629866204163 3:0.08906695536789844 4:1.064461010109997 5:1.0072079487235932 6:0.2820182328898242 7:-0.6559973320973365 8:-0.6543872171058642 9:1.6008953554453855 10:0.5409659271725333 11:1.6560903488272647 12:-0.6146658871176793 
1:-113.30141517218081 2:7.321684514455362 3:2.5059882212302877 4:2.415741863431937 5:-0.26386158265773707 6:0.7286739133551117 7:0.4907881915119763 8:1.133761726765968 9:3.204583790757373 10:4.283067567706973 11:2.0099005525581966 12:-0.6462424433733513 
1:-118.70657145234175 2:4.126594865020332 3:0.288989876974882 4:2.01816600184203 5:-0.8696655530195767 6:-2.8817284841361994 7:-4.062625516645847 8:-2.4233884778933716 9:3.078854429763867 10:2.284561650896984 11:2.2951475327439854 12:-0.8892337733795728 
1:-113.28431103032922 2:6.783580460129373 3:3.1335054482449047 4:3.9039971896402084 5:2.4614541997580845 6:-0.9290875409601083 7:0.45851873344168936 8:-0.304498572768904 9:2.8757850266002842 10:2.8726318989656057 11:-0.36740902665933417 12:-0.046198708219365336 
1:-116.6640848862054 2:1.96194710075076 3:-1.0332487773873034 4:3.301191882072278 5:-0.7044386223826526 6:0.3485704182086522 7:0.4774913203734701 8:-0.34427470958169026 9:0.3090442719402713 10:-0.22650398126432236 11:-0.48493026723399657 12:-1.3789748516382643 
1:-116.83503237876555 2:3.0245910474214046 3:-2.235151474044296 4:2.186471231950955 5:3.908273321014798 6:2.2960174384406815 7:0.3268921243922498 8:1.502824977270854 9:2.317176771039178 10:-0.2673709022705477 11:-1.061354287529503 12:-0.647657399353665 
1:-116.29186016916347 2:3.0138164288312685 3:-1.80194184782501 4:1.4869692397507142 5:-1.2727783033246562 6:-3.1724237692676223 7:-1.3091617463857612 8:1.3151316954760541 9:4.244858065664841 10:0.977534109781319 11:2.0052031857948407 12:2.8138997224887037 
1:-118.48212846279384 2:4.769857471772584 3:0.0679216020385578 4:2.8523995866073775 5:1.2821029547057945 6:-0.15036536398301514 7:-1.6311163463424814 8:2.99502199170213 9:6.300952270734351 10:2.361961811140843 11:1.1995873046722623 12:1.1507325067368908 
1:-109.43184790584282 2:6.268039075892503 3:1.3249785089532797 4:4.094241922126903 5:5.15786110014742 6:2.2282047430780945 7:-0.6698688994517097 8:0.6363102672460386 9:3.697569620979017 10:-1.116452427193583 11:-1.9851038449522638 12:-0.3018005888567523 
1:-114.80324124842899 2:5.022913481127588 3:1.0232523016933426 4:4.255950489360918 5:0.028931317721294647 6:-0.17020232721680362 7:-1.1251521069986627 8:1.0816173559654847 9:1.4427015677738786 10:2.6694220897536334 11:2.7872197783782418 12:0.21924773336680792 
1:-117.51820109800767 2:3.1042482233314317 3:-0.6610155744598156 4:6.585681668936698 5:2.8507651681276087 6:-0.8269728754145635 7:-1.719507715305923 8:-0.1396869054897838 9:5.646865375541856 10:3.512735608996787 11:1.5635627207550424 12:-1.3260550586911695 
1:-107.74000775105878 2:6.399051974764898 3:0.590056942064463 4:1.2500205511737064 5:1.4273036008964972 6:1.784306966636931 7:2.3602604877779663 8:-0.5095343931610872 9:1.733316796919377 10:1.973476969350224 11:0.2656816507756421 12:1.1831605000010454 
1:-126.92630554796762 2:-0.7327606645662526 3:-2.525338737478294 4:3.626060027740462 5:1.221552735507954 6:2.2788715337662033 7:0.9844077372435667 8:1.9595627398075703 9:5.275276768898334 10:2.159711005569215 11:1.9880042930834425 12:-0.4719869219083792 
1:-121.83731077108958 2:2.1268414925049024 3:-2.622661294536332 4:1.7095659653312545 5:0.8236248768997916 6:1.8618216752949248 7:2.6441654146030578 8:2.178049258037508 9:5.214355006142316 10:2.9055949889911483 11:2.9606917393257635 12:-0.4016266654681906 
1:-105.84907008292524 2:5.818733445301499 3:4.40324004260456 4:5.753745688589115 5:2.8868811358892454 6:2.6174877602481903 7:1.5016399471880986 8:-1.8095191186326915 9:1.7154068657311319 10:-0.5816407675505069 11:1.1159417174447945 12:0.44239222195640204 
1:-119.93452936977896 2:3.651857222715208 3:-0.3839936063709568 4:0.6857430276831575 5:1.7565866196392297 6:3.050090213798354 7:1.813662786718552 8:2.600842921764778 9:5.154495742794305 10:1.9805014897436948 11:1.593594661554111 12:-2.4765091527573313 
1:-122.8854957418807 2:1.0181011979518209 3:-2.4518052969622235 4:0.5978598525528249 5:1.442394402456868 6:0.3335849203892445 7:-2.558973519541225 8:1.462887687228187 9:4.137859967179495 10:-0.8668943181586592 11:-0.5980823096386261 12:-0.43779935302972195 
1:-106.55279602849171 2:8.231808775825204 3:1.72617622257162 4:3.6598214253688455 5:2.343140229571354 6:0.8478184335753727 7:0.32608110100598475 8:-1.8714310664993894 9:2.0289832790305273 10:-0.24389216102063394 11:1.862030959654407 12:-0.0989942914126245 
1:-113.9177405352979 2:3.0904888697706356 3:-3.782524434380942 4:3.3685805111564937 5:1.8328255907713213 6:0.058520105889862783 7:-0.9475240354756904 8:-3.323037233191057 9:5.452610139633484 10:1.9706610035972525 11:-0.8583621486811341 12:-0.9257749513270395 
1:-120.05326237023667 2:0.6362564446901153 3:-3.6199393936542954 4:3.0530649894740614 5:2.860153469750956 6:2.701447237029866 7:-0.8279272976461374 8:0.16818957005696777 9:4.470097337546013 10:-2.133633781488411 11:1.3124859330681966 12:2.182835966481736 
1:-109.15657190610213 2:6.846464983159953 3:-1.7075124669699608 4:2.0592253333165096 5:1.175934078999382 6:0.3739839627576247 7:-0.0026204305582946397 8:1.5962089233534136 9:2.2123164685252266 10:-1.1500197355469588 11:0.7167552787573546 12:-0.07921805250333103 
1:-119.76726973453727 2:1.2361875789330066 3:-3.065867195020619 4:1.8062537785227732 5:0.21807119438635691 6:2.5395389955757004 7:-1.3759143722629155 8:2.351065214871155 9:4.418174273953282 10:-1.353034184483024 11:-0.7217432645811774 12:3.044623011294868 
1:-117.77527446468719 2:0.8996127121890543 3:-3.676866228340492 4:3.5591607651106956 5:4.756301266228823 6:2.5173935597072887 7:-1.0871218432422278 8:-0.5671437458973925 9:3.5508426035296763 10:-2.066068258944753 11:-1.7929610368299338 12:-0.043890795842170593 
1:-108.96834237817265 2:4.811197235650827 3:-0.23347821592200946 4:4.915513094639482 5:2.0254355042761487 6:1.2326907869948291 7:2.0075971124982113 8:1.93614498706525 9:5.546422470657744 10:1.7224830564303928 11:-2.5542196397118184 12:-0.7265845088227225 
1:-119.680649553134 2:0.028034135088479406 3:-4.135718096202115 4:3.159663909083323 5:-0.42272826074442893 6:-2.9875542138775955 7:-0.5754610240744036 8:-0.8425179979079429 9:5.80671014627241 10:-0.3731151483753745 11:-1.8612183565993223 12:0.015911988575284308 
1:-118.31813440433568 2:2.110962012371388 3:-2.2121781768808964 4:1.5413048345220162 5:-1.164101514470604 6:-0.33943133782812573 7:-0.8745982346923893 8:-0.15649794993719812 9:3.1913128184139214 10:0.0047909138900452675 11:0.575129156593484 12:0.07286253434508128 
1:-109.37732547186188 2:4.867440560742113 3:1.260271238306348 4:6.374748497956686 5:0.1649846363604901 6:0.9331309683267306 7:1.2151780879749423 8:-0.18800987740716835 9:3.4761761256367887 10:-0.037231107455184986 11:-0.870068119526278 12:0.37852669453385746 
1:-123.05981787367142 2:-1.4953506150629519 3:-1.6943473307748178 4:3.0945835184204937 5:-1.3510344718161371 6:0.8740488744291133 7:0.3447902791193762 8:2.596748070474646 9:5.384155731336907 10:0.7430499329178488 11:-1.75132485737865 12:-1.5554895583561459 
1:-114.94788398836732 2:2.778396823219115 3:3.1695184075072467 4:6.5375123376934425 5:1.0067629644331566 6:-0.18550633048001997 7:2.47513178152389 8:1.6175503422276254 9:2.2221883872091825 10:-0.7360890565194653 11:-0.5741900569663931 12:0.8696565894668273 
1:-121.80028915502403 2:2.5427003223358238 3:0.7875171200549449 4:6.0028953732039305 5:1.1289791920508785 6:0.5133456445972415 7:-0.2787780979429497 8:0.6219906664340868 9:0.917734474748686 10:-1.5978662473230951 11:-0.563763963986839 12:-0.9523525993968311 
1:-118.41373954730471 2:4.448044253174903 3:1.0564598613890621 4:5.8587831953404566 5:1.543535195081506 6:-1.3336978564874409 7:-0.0776294959243451 8:1.9559739267424057 9:5.8274053179415795 10:0.4571210506719878 11:0.9683611259471756 12:-0.4528058276253799 
1:-122.13003917590032 2:0.853488549073544 3:0.8497061203572147 4:2.26408131958551 5:-1.900101523484897 6:-0.8891180205530365 7:1.1488179162826406 8:2.5034752218129626 9:4.440445461240341 10:0.37840520938052924 11:0.36817465125399185 12:-2.5912293917338687 
1:-113.51967589428104 2:5.143660083754342 3:2.0189185812509027 4:5.397085066441033 5:1.0546832954047418 6:-0.9238958026966078 7:0.13350270287800026 8:0.6157640977485288 9:1.7114899296645265 10:2.2673564687459877 11:2.1642990519449983 12:-0.5149410301927562 
1:-114.53032487197348 2:2.2107186325074886 3:0.6023977797850373 4:5.6447148367294435 5:3.157143952882766 6:0.48423098309532353 7:-1.37918527165502 8:0.7974363881963069 9:1.925399566177581 10:-0.617497381574212 11:1.2690252314776025 12:3.399754544405214 
1:-111.94930622341417 2:-0.2843934568577682 3:-3.468804666449237 4:1.7560023916645053 5:0.6990502826510849 6:-0.8961514754853965 7:-1.1111085666164167 8:2.026067588067063 9:1.8624109505348225 10:-0.17400666472843884 11:0.0746829647034919 12:0.21153100555248816 
1:-108.2380559379299 2:8.376589988313416 3:0.7005027161592059 4:0.8618307245368864 5:-1.6029795636362167 6:2.8950155844574765 7:0.9852308576585989 8:1.5981445476121632 9:1.7925684538698783 10:0.35547310430943524 11:1.197292064887646 12:0.23045739795704367 
1:-107.36149179725777 2:6.551073885188191 3:-0.4548895183942845 4:2.9829276440972166 5:-0.004973777882500308 6:3.361349467861676 7:0.4263876999206082 8:-0.29832271159616663 9:5.388389014794743 10:2.2655111391337037 11:-1.086711738509241 12:-1.7219062121357913 
1:-111.47153285910288 2:3.5519687396458615 3:-5.145433768392271 4:0.9229144637527265 5:1.1301182430026238 6:1.3346840703977079 7:1.115726585100175 8:0.18849361352199123 9:3.2956926002494615 10:0.5033878269471614 11:1.9664734967174833 12:3.8645640819509195 
1:-106.6608444554048 2:4.3780751426896405 3:-0.8609177859777812 4:-0.7189377909588233 5:1.6915315949356864 6:1.1561624834100637 7:1.0950822757089274 8:2.1699229869569336 9:0.5489668748088228 10:-1.513652890991378 11:0.32318122684174666 12:-0.1474513279882359 
1:-117.02881497744242 2:4.119242905156664 3:-4.231597807640592 4:0.02930321076372122 5:-0.802348568739089 6:-0.7151132365012307 7:0.7118673207645756 8:1.315812887395972 9:4.9111250025959965 10:-0.14460186801453245 11:0.2740628474757498 12:0.4803767641668455 
1:-114.44787789882275 2:7.433345747815453 3:-0.7171313182436974 4:0.7385041662287612 5:-0.29929019203515805 6:2.0497735373064536 7:-1.9135272704022221 8:1.3792666375306792 9:2.7070547542882055 10:-2.5167706318046847 11:1.2219222911566554 12:-0.027012285925923418 
1:-106.35094989366978 2:5.318535079700932 3:1.449281264568477 4:3.1921538588285396 5:3.231207089334519 6:3.5835009889624736 7:3.1801755386359645 8:1.0797978631971303 9:1.2521628119691353 10:-1.669530457747527 11:0.44255864792998345 12:0.679461679471721 
1:-114.08246425613426 2:3.3981824976981034 3:-1.9589256840573 4:0.3263648405869377 5:-0.6071057941882931 6:-0.48060867581697053 7:0.353842925543955 8:-0.15241878790209107 9:0.5124121913901996 10:-4.5227377714652315 11:0.46843004470335803 12:0.4286272322608804 
1:-115.67379337126127 2:2.806122120270593 3:-2.6800754320751725 4:2.636815746318134 5:-0.7595068380096768 6:-1.4746988992974326 7:-3.6106322070610846 8:-0.20136627016866004 9:4.216332095479772 10:-0.3890160322255274 11:0.9006127948298253 12:0.7735908800544022 
1:-111.12078105547334 2:7.888820417793824 3:-0.3002958614943516 4:2.359229539337257 5:1.8077585805392244 6:-0.6528097305212981 7:-1.3131268324874448 8:0.009971467075433171 9:3.7684039928851183 10:-0.5094928006797086 11:0.10814347247984557 12:-0.01926964508072393 
1:-117.9508626750596 2:0.5513577041034301 3:-5.258490844194705 4:1.4922950409639237 5:1.425902547509374 6:-2.5291618387669725 7:-2.19631672031902 8:-0.28757114260559336 9:-0.3876506210459052 10:-2.934930392544338 11:-1.8334262541961648 12:-1.7527358040390504 
1:-109.82660537772445 2:4.305240416716806 3:0.03726960008754743 4:3.8250066448644238 5:4.982475937955688 6:2.565945441005479 7:0.1388496435745883 8:-0.8434681684620915 9:1.5768859713148502 10:-0.35455031723898767 11:-1.5357395731622656 12:-0.21237766926003143 
1:-111.34875603075693 2:3.6024876370440593 3:-0.2535634890385614 4:6.159858315471237 5:4.777134517681031 6:1.9875098721266657 7:-0.321161487319122 8:-2.3762654771159513 9:-0.00769676892915605 10:-1.5510610977323838 11:1.6511072934178128 12:1.9387268878470842 
1:-117.85320598155359 2:2.4548858548825025 3:-3.84457650111524 4:0.24855810020345448 5:-1.271567761062121 6:-2.211044030707721 7:1.1542283201051418 8:1.5401072888425025 9:4.455117231733309 10:0.5853463675844157 11:0.8315291829281279 12:-1.5700870738212793 
1:-120.67473941299406 2:1.3450651880771938 3:-0.8657681917387778 4:4.311734301344027 5:-0.6158913473282723 6:-0.28645708455927643 7:2.074432695437194 8:0.8611948057724397 9:0.07276643514016135 10:-0.9498595111983765 11:0.4677367710015221 12:-0.021224263787196662 
1:-115.80505630049021 2:2.024592028633604 3:-0.3284955369469893 4:5.086794363320644 5:0.4679333951665918 6:0.8928007607995183 7:1.3798052295048615 8:0.6304335341881204 9:2.727246963955311 10:0.10213178267916811 11:1.0444783083307203 12:-1.052885589865519 
1:-121.24995514373398 2:-1.7396000329872638 3:-4.810421055976349 4:2.7432779279649155 5:-0.4020294411681129 6:2.7885306938906735 7:1.5053849647984654 8:2.915424716645684 9:4.385458816990005 10:1.637020891697777 11:3.6379778970581684 12:0.723350081937415 
1:-124.2561392256138 2:-4.413586841649847 3:-4.492109424472591 4:0.13905723597460184 5:-1.73828073297982 6:4.419832063078248 7:2.025439485149179 8:1.7049601203274953 9:5.955935111439084 10:1.0281121709673533 11:2.6581279555558623 12:2.9000230684478687 
1:-108.44160758745157 2:6.166337344305848 3:1.2592773517531048 4:4.2519666036382215 5:1.6508202922907658 6:-0.3250333900568676 7:1.5377603042719823 8:2.3386514149443993 9:2.030359846805238 10:0.29223686220301115 11:0.44346223178418853 12:-1.9169871165060406 
1:-124.89321609870267 2:-2.7819599119944076 3:-5.593302434306327 4:0.7369227278254682 5:2.2621387553160397 6:-1.122229415498905 7:-2.0435989697792363 8:-0.5924986200672997 9:4.757166609184762 10:0.872888638957249 11:-0.9750927893211645 12:-1.3954566477954309 
1:-113.36664530817463 2:2.7120210038439727 3:-0.07323722473315097 4:3.62573310173581 5:-0.8744156211100624 6:-0.08324048285566654 7:-1.30048315350429 8:-0.3759980954660578 9:2.863365850171131 10:0.2824204545492912 11:3.183685385523261 12:0.2560437856307489 
1:-109.17982433721401 2:2.3655961086452715 3:-0.32602382779730243 4:3.829250206719995 5:3.962851148409724 6:0.9881360720045769 7:0.48964453963069543 8:1.8200994606626455 9:4.756915038950716 10:1.4424284484300176 11:0.09372308585163047 12:-0.9234091873156522 
1:-117.28510776986494 2:1.5069480859099453 3:-4.96942931492941 4:1.8709132972332512 5:2.88968856668631 6:1.1466802679226578 7:-2.718656954561957 8:-1.8296182898572573 9:2.5308313286373045 10:1.8551638663473082 11:2.763065403382171 12:2.1899128604941143 
1:-104.52730498381527 2:8.181771680878947 3:-1.256539406191063 4:1.3453178090928235 5:2.7726343876614434 6:1.7410822963891848 7:-0.7493473097977064 8:-1.7039302315390614 9:5.701172163704337 10:0.26303748801458937 11:-1.1033914471780766 12:1.4559966316856872 
1:-123.971832236288 2:-4.5825632104489245 3:-4.514832017761905 4:2.795316976597802 5:2.377690945714007 6:2.7598177961521504 7:2.031423872433842 8:-1.5885913214106537 9:6.035884882580488 10:2.1063468282334554 11:0.35618577825665465 12:0.14405684142914588 
1:-111.8703576800859 2:2.044854496611494 3:-1.3145860338217128 4:4.381515571648041 5:2.85968478769518 6:2.014328068125696 7:1.379047907409856 8:-0.5513443678350058 9:5.071142781602891 10:-0.7098134137726131 11:-0.4976688275781096 12:0.07703614010884774 
1:-117.66777708039585 2:1.0826579758832002 3:-0.9443210288168915 4:5.43480921489866 5:1.2725806219789755 6:3.545034623827292 7:1.1915958224050405 8:-0.5899535822173743 9:0.9327879782426463 10:-1.697619316792283 11:0.6008463357077565 12:0.773167024039259 
1:-112.1475587191779 2:2.5185294607014423 3:0.35103317152418256 4:2.5241748771859847 5:3.3909369036764874 6:1.424291260801632 7:0.06982042672958055 8:0.43236024862583955 9:3.976049775240238 10:-0.3401914399711399 11:-1.0598607790990466 12:0.31540710731455457 
1:-118.56150593693253 2:0.4180831628808166 3:-1.3384799328889585 4:4.746246941282866 5:2.535793017988569 6:1.0287366511335678 7:-2.761742970501671 8:-0.26511412931428024 9:4.632758702681969 10:0.28821638251901804 11:-0.26311354887463034 12:-3.8090391031110413 
1:-111.69754503316754 2:3.9812917373704186 3:-3.2102186481657005 4:3.5901969032568837 5:2.819777928305628 6:0.9332003133004054 7:-2.8282031300165706 8:0.7717050592459449 9:5.32564858398874 10:2.135597588166729 11:-1.0947060371712793 12:-2.19964646163582 
1:-118.36244509787626 2:-0.4496556438555155 3:-8.323071625052865 4:-0.394807644432249 5:-0.43767066783007547 6:-2.1087151344248376 7:-2.5175087925545423 8:1.0684363911814225 9:3.3029675327248365 10:0.5183836601189591 11:0.48925298394783123 12:0.18413797667375809 
1:-107.88293497223296 2:6.071656159035346 3:0.5684154615019823 4:2.245140470947155 5:1.2020967440389017 6:-1.2550924163003745 7:-0.5805275276865869 8:1.0426719429381714 9:4.298327434212776 10:2.1139329087595007 11:-0.9847625492934551 12:0.9129645518873528 
1:-115.23829359416891 2:0.40798757443669453 3:-4.828809517939311 4:3.347581218035263 5:3.096635207573592 6:-2.4550223764140173 7:-1.5043802295189304 8:2.3738915089933084 9:0.5659678219807223 10:-0.03561357326313619 11:0.7604077799230091 12:-3.433277844200176 
1:-112.30842826494974 2:4.494878729494705 3:-0.6680249239844787 4:0.923673215090552 5:-0.2755032180435064 6:0.6574215426327674 7:-0.49879695000083624 8:-1.1247882237527094 9:4.165289943386288 10:1.0596250403179588 11:1.130404343682668 12:-1.1377937261684585 
